Grupo,Código de barras,Artículo,deposito 1,deposito 2,deposito 3,deposito 4,deposito 5
AMOBLAMIENTO,AMLM-AM-U61-B,BANQUETA TAPIZADA COST BCO  BASE PINTADA NEGRO,,2,1,,
,AMLM-MD-B53-B,BANQUETA LAQUEADA BASE PINTADA AS/RS BLANCA,,,2,,
,AMLM-VT J02 A,R- SILLA 4 PATAS DE MADERA TOR TAPIZ SHOT NICKEL,,,6,,
ANAFES ORMAY,ORANAFE-065120,ANAFE VITROCERAMICO VITRO COOK 4,,,,1,
,ORANAFE-INDUCC-I2,ANAFE INDUCCION SMART COOK I2,,1,,,
,ORANAFE-INDUCC-I4,ANAFE INDUCCION SMART COOK I4,,,,2,
,ORANAFE-TECNO-IX,ANAFE TECNO IX - A. INOX,,1,,2,
CAMPANAS FRANKE,CF-TURBOTRO-3716,PURIF TURBOTRONIC 60 CM 1 MOT DESLIZ - BLANCO,1,,1,,
CAMPANAS TST,CTC-300-75,CAMP COLHUE 75 CM,,,,1,
,CTE-740,FILTRO CARBON ACTIVADO (CONJUNTO CARTUCHOS),1,,,,1
,CTESP-280-60,CAMP ESPEJO NEGRO-60-3V-CR-CM,1,,,,
,CTIKUBA-245-90,CAMP KUBA ISLA-90-3V-A-CM (90X50),,,1,1,
,CTLACAR-260-75,CAMP LACAR CRISTAL CURVO -75-3V-CR-CM,1,,,,
,CTLACAR-260-90,CAMP LACAR CRISTAL CURVO-90-3V-CR-CM,,,,1,
,CTLANIN-330-75,CAMP LANIN 3V-A-CM 75 CM,2,,,,
,CTLANIN-330-90,CAMP LANIN 3V-A-CM 90 CM,,,1,,
,CTNIH-210-60,CAMP NIHUIL-60-3V-A-CM (60X52),,1,1,,
,CTNIH-210-90,CAMP NIHUIL-90-3V-A-CM (90X52),,2,,,
,CTP-200-90,PURIFICADOR EXTENSIBLE 3 V - 90 CM,,,,1,
CÓDIGOS ERROR,ERROR 01,ARTÍCULO NO IDENTIFICADO EN BASE DE DATOS,6,,1,,
FIXSYSTEM,SMASF,ANGULOS FIXSYSTEM,84,,1,,
,SMF35 SIN/REG-DERECHA,MÉNSULA FIXSYSTEM 35  CM SIN REGULACION-DERECHA,16,,1,,
,SMF35 SIN/REG-IZQ,MÉNSULA FIXSYSTEM 35  CM SIN REGULACION-IZQUIERDA,18,,1,,
,SMFS35 CON/REG-DERECHA,MÉNSULA FIXSYSTEM 35  CM CON REGULACIÓN-DERECHA,10,,1,,
,SMFS35 CON/REG-IZQ,MÉNSULA FIXSYSTEM 35  CM CON REGULACIÓN-IZQUIERDA,10,,,,
,SMFS45 CON/REG-DERECHA,MÉNSULA FIXSYSTEM 45 CM CON REGULACION-DERECHA,25,,,,
,SMFS45 CON/REG-IZQ,MÉNSULA FIXSYSTEM 45 CM CON REGULACION-IZQUIERDA,26,,,,
